# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       213      106.500       338.56      0.08362803  -1313.11008953  -1313.02646150
       214      107.000       364.05      0.08992372  -1313.10962241  -1313.01969869
       215      107.500       279.68      0.06908401  -1313.10897054  -1313.03988653
       216      108.000       292.41      0.07222739  -1313.10949566  -1313.03726828
       217      108.500       314.70      0.07773344  -1313.10964957  -1313.03191614
       218      109.000       280.12      0.06919240  -1313.10908964  -1313.03989724
       219      109.500       282.12      0.06968727  -1313.10896255  -1313.03927528
       220      110.000       281.59      0.06955470  -1313.10808480  -1313.03853010
       221      110.500       302.42      0.07470075  -1313.10878390  -1313.03408315
       222      111.000       347.37      0.08580418  -1313.10963366  -1313.02382948
       223      111.500       302.61      0.07474723  -1313.11083633  -1313.03608910
       224      112.000       309.42      0.07643142  -1313.11094412  -1313.03451269
       225      112.500       280.85      0.06937358  -1313.11084621  -1313.04147264
       226      113.000       276.70      0.06834760  -1313.11012479  -1313.04177719
       227      113.500       348.15      0.08599613  -1313.10945876  -1313.02346262
       228      114.000       335.35      0.08283468  -1313.10936667  -1313.02653199
       229      114.500       327.47      0.08088934  -1313.10871457  -1313.02782523
       230      115.000       283.11      0.06993049  -1313.10760546  -1313.03767498
       231      115.500       312.75      0.07725355  -1313.10823906  -1313.03098551
       232      116.000       298.53      0.07374138  -1313.10923493  -1313.03549355
       233      116.500       265.67      0.06562248  -1313.10761265  -1313.04199016
       234      117.000       336.36      0.08308570  -1313.10668802  -1313.02360232
       235      117.500       320.33      0.07912537  -1313.10734130  -1313.02821592
       236      118.000       305.47      0.07545550  -1313.10712386  -1313.03166836
       237      118.500       339.92      0.08396395  -1313.10672552  -1313.02276157
       238      119.000       278.12      0.06869824  -1313.10669074  -1313.03799250
       239      119.500       324.45      0.08014375  -1313.10589379  -1313.02575004
       240      120.000       253.52      0.06262169  -1313.10598425  -1313.04336256
       241      120.500       292.18      0.07217103  -1313.10679930  -1313.03462826
       242      121.000       304.22      0.07514691  -1313.10731484  -1313.03216793
       243      121.500       292.62      0.07228071  -1313.10808899  -1313.03580827
       244      122.000       315.75      0.07799405  -1313.10805795  -1313.03006390
       245      122.500       351.52      0.08683035  -1313.10732016  -1313.02048982
       246      123.000       308.13      0.07611257  -1313.10711750  -1313.03100493
       247      123.500       303.13      0.07487758  -1313.10793467  -1313.03305710
       248      124.000       274.45      0.06779267  -1313.10707438  -1313.03928171
       249      124.500       343.92      0.08495263  -1313.10625530  -1313.02130267
       250      125.000       297.99      0.07360602  -1313.10816481  -1313.03455879
       251      125.500       275.30      0.06800123  -1313.10895452  -1313.04095329
       252      126.000       284.42      0.07025575  -1313.10881011  -1313.03855436
       253      126.500       276.20      0.06822499  -1313.10901154  -1313.04078655
       254      127.000       268.53      0.06632975  -1313.10949717  -1313.04316742
       255      127.500       276.35      0.06826219  -1313.11035212  -1313.04208993
       256      128.000       324.40      0.08012942  -1313.11004723  -1313.02991781
       257      128.500       298.58      0.07375229  -1313.10958191  -1313.03582962
       258      129.000       309.68      0.07649472  -1313.11119973  -1313.03470501
       259      129.500       294.16      0.07266020  -1313.11118732  -1313.03852713
       260      130.000       315.93      0.07803921  -1313.10956567  -1313.03152646
       261      130.500       270.80      0.06688994  -1313.10832436  -1313.04143442
       262      131.000       329.33      0.08134772  -1313.10803724  -1313.02668951
       263      131.500       293.99      0.07261866  -1313.10924206  -1313.03662340
       264      132.000       261.32      0.06454856  -1313.10918967  -1313.04464111
       265      132.500       288.80      0.07133652  -1313.10916019  -1313.03782367
       266      133.000       280.53      0.06929427  -1313.10909686  -1313.03980259
       267      133.500       309.04      0.07633552  -1313.10983011  -1313.03349460
       268      134.000       296.99      0.07336080  -1313.11054286  -1313.03718207
       269      134.500       310.92      0.07680162  -1313.11065156  -1313.03384994
       270      135.000       289.94      0.07161883  -1313.10951380  -1313.03789497
       271      135.500       300.49      0.07422425  -1313.10992718  -1313.03570292
       272      136.000       288.54      0.07127193  -1313.10938514  -1313.03811321
       273      136.500       269.44      0.06655441  -1313.10832657  -1313.04177216
       274      137.000       274.31      0.06775830  -1313.10912075  -1313.04136245
       275      137.500       287.36      0.07098138  -1313.10849066  -1313.03750928
       276      138.000       254.53      0.06287245  -1313.10802283  -1313.04515039
       277      138.500       321.66      0.07945365  -1313.10850014  -1313.02904649
       278      139.000       328.15      0.08105716  -1313.11031681  -1313.02925966
       279      139.500       285.68      0.07056607  -1313.11109918  -1313.04053311
       280      140.000       329.52      0.08139558  -1313.11080777  -1313.02941219
       281      140.500       366.17      0.09044812  -1313.11007285  -1313.01962473
       282      141.000       311.86      0.07703200  -1313.10766099  -1313.03062900
       283      141.500       357.94      0.08841450  -1313.10777926  -1313.01936476
       284      142.000       294.10      0.07264657  -1313.10789321  -1313.03524664
