# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       212      106.000      2785.79      0.19849641   -234.49156569   -234.29306928
       213      106.500      1887.80      0.13451171   -234.48775343   -234.35324172
       214      107.000      2113.62      0.15060226   -234.48870982   -234.33810756
       215      107.500      2185.19      0.15570214   -234.48656871   -234.33086658
       216      108.000      1351.59      0.09630523   -234.48798154   -234.39167631
       217      108.500      2474.57      0.17632122   -234.48985018   -234.31352895
       218      109.000      1865.56      0.13292734   -234.49318973   -234.36026238
       219      109.500      1510.04      0.10759494   -234.49165466   -234.38405972
       220      110.000      2142.42      0.15265472   -234.49508007   -234.34242535
       221      110.500      2005.27      0.14288224   -234.49362922   -234.35074698
       222      111.000      1340.01      0.09547978   -234.49343238   -234.39795260
       223      111.500      2468.78      0.17590881   -234.49235898   -234.31645018
       224      112.000      2260.77      0.16108739   -234.49417232   -234.33308494
       225      112.500      1844.22      0.13140662   -234.49861348   -234.36720686
       226      113.000      2327.53      0.16584442   -234.49762118   -234.33177676
       227      113.500      1858.15      0.13239924   -234.49598473   -234.36358548
       228      114.000      1549.99      0.11044188   -234.49563668   -234.38519481
       229      114.500      1594.11      0.11358588   -234.49515938   -234.38157349
       230      115.000      2005.18      0.14287591   -234.49657274   -234.35369682
       231      115.500      2104.59      0.14995892   -234.49565353   -234.34569461
       232      116.000      1920.70      0.13685643   -234.49393618   -234.35707975
       233      116.500      2487.78      0.17726265   -234.49276098   -234.31549833
       234      117.000      2232.72      0.15908832   -234.49518622   -234.33609790
       235      117.500      1887.76      0.13450901   -234.49302999   -234.35852098
       236      118.000      1504.30      0.10718621   -234.49281279   -234.38562658
       237      118.500      2998.10      0.21362432   -234.49223421   -234.27860988
       238      119.000      2369.31      0.16882113   -234.49124576   -234.32242464
       239      119.500      1690.62      0.12046243   -234.49289760   -234.37243518
       240      120.000      2142.55      0.15266348   -234.49493940   -234.34227592
       241      120.500      1811.79      0.12909614   -234.49732909   -234.36823295
       242      121.000      1893.06      0.13488674   -234.49905269   -234.36416595
       243      121.500      2282.66      0.16264689   -234.49839613   -234.33574924
       244      122.000      1891.19      0.13475311   -234.49624637   -234.36149326
