# MD Simulation - NVE Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       251       25.100       176.57      0.02432296   -779.13883849   -779.11451552
       252       25.200       180.49      0.02486390   -779.13899046   -779.11412656
       253       25.300       183.79      0.02531795   -779.13911804   -779.11380009
       254       25.400       186.27      0.02565935   -779.13921400   -779.11355465
       255       25.500       187.77      0.02586680   -779.13927241   -779.11340561
       256       25.600       188.19      0.02592439   -779.13928868   -779.11336428
       257       25.700       187.45      0.02582240   -779.13926020   -779.11343780
       258       25.800       185.53      0.02555798   -779.13918603   -779.11362805
       259       25.900       182.46      0.02513569   -779.13906761   -779.11393192
       260       26.000       178.34      0.02456792   -779.13890826   -779.11434034
       261       26.100       173.31      0.02387494   -779.13871370   -779.11483877
       262       26.200       167.58      0.02308464   -779.13849183   -779.11540720
       263       26.300       161.39      0.02223185   -779.13825227   -779.11602042
       264       26.400       155.04      0.02135715   -779.13800662   -779.11664947
       265       26.500       148.85      0.02050501   -779.13776718   -779.11726218
       266       26.600       143.16      0.01972153   -779.13754697   -779.11782544
       267       26.700       138.30      0.01905164   -779.13735869   -779.11830704
       268       26.800       134.56      0.01853611   -779.13721374   -779.11867763
       269       26.900       132.18      0.01820846   -779.13712152   -779.11891306
       270       27.000       131.33      0.01809221   -779.13708883   -779.11899662
       271       27.100       132.11      0.01819874   -779.13711865   -779.11891991
       272       27.200       134.48      0.01852591   -779.13721054   -779.11868464
       273       27.300       138.34      0.01905781   -779.13736001   -779.11830220
       274       27.400       143.48      0.01976559   -779.13755894   -779.11779335
       275       27.500       149.61      0.02060924   -779.13779603   -779.11718679
       276       27.600       156.37      0.02154040   -779.13805770   -779.11651730
       277       27.700       163.37      0.02250558   -779.13832900   -779.11582343
       278       27.800       170.23      0.02344981   -779.13859431   -779.11514449
       279       27.900       176.55      0.02432019   -779.13883886   -779.11451867
       280       28.000       181.98      0.02506908   -779.13904923   -779.11398015
       281       28.100       186.25      0.02565687   -779.13921438   -779.11355750
       282       28.200       189.13      0.02605405   -779.13932597   -779.11327191
       283       28.300       190.50      0.02624251   -779.13937876   -779.11313625
       284       28.400       190.31      0.02621622   -779.13937135   -779.11315513
       285       28.500       188.60      0.02598110   -779.13930516   -779.11332406
       286       28.600       185.50      0.02555442   -779.13918522   -779.11363080
       287       28.700       181.21      0.02496347   -779.13901909   -779.11405562
       288       28.800       175.99      0.02424399   -779.13881690   -779.11457291
       289       28.900       170.14      0.02343801   -779.13859042   -779.11515241
       290       29.000       164.00      0.02259160   -779.13835253   -779.11576093
       291       29.100       157.90      0.02175231   -779.13811669   -779.11636438
       292       29.200       152.20      0.02096665   -779.13789589   -779.11692924
       293       29.300       147.20      0.02027753   -779.13770229   -779.11742476
       294       29.400       143.17      0.01972188   -779.13754617   -779.11782429
       295       29.500       140.31      0.01932862   -779.13743575   -779.11810712
       296       29.600       138.77      0.01911699   -779.13737625   -779.11825926
       297       29.700       138.62      0.01909543   -779.13737033   -779.11827491
