
================================================================================
                                 MD SIMULATION                                  
================================================================================
Ensemble:        NVE
Timestep:        0.250 fs
Total steps:     4000000
Simulation time: 1000000.00 fs

System:
  Atoms:         30
  Formula:       C8H15N3O4
  Charge:        0
  Multiplicity:  1

================================================================================

WARNING: Pre-existing output files were backed up:
  Backed up existing file: agnve.out -> #agnve.out.1#


       Step         Time(ps)  Progress      T(K)      E_total(Ha)  Speed(ns/day)         ETA
  ---------  ---------------  --------  --------  ---------------  -------------  ----------

Starting NVE simulation...

  Step    19500     4875.00 fs  T  397.59 K  E    -779.081681 Ha
  Step    19600     4900.00 fs  T  465.50 K  E    -779.074950 Ha
  Step    19700     4925.00 fs  T  338.90 K  E    -779.087472 Ha
  Step    19800     4950.00 fs  T  391.67 K  E    -779.082258 Ha
  Step    19900     4975.00 fs  T  362.08 K  E    -779.085199 Ha
  Step    20000     5000.00 fs  T  384.26 K  E    -779.082988 Ha
  Step    20100     5025.00 fs  T  479.60 K  E    -779.073551 Ha
  Step    20200     5050.00 fs  T  518.33 K  E    -779.069698 Ha
  Step    20300     5075.00 fs  T  488.16 K  E    -779.072684 Ha
  Step    20400     5100.00 fs  T  404.84 K  E    -779.080969 Ha
  Step    20500     5125.00 fs  T  419.23 K  E    -779.079532 Ha
  Step    20600     5150.00 fs  T  458.39 K  E    -779.075640 Ha
  Step    20700     5175.00 fs  T  343.96 K  E    -779.087006 Ha
  Step    20800     5200.00 fs  T  369.34 K  E    -779.084480 Ha
  Step    20900     5225.00 fs  T  374.44 K  E    -779.083962 Ha
  Step    21000     5250.00 fs  T  470.24 K  E    -779.074491 Ha
  Step    21100     5275.00 fs  T  384.72 K  E    -779.082954 Ha
  Step    21200     5300.00 fs  T  326.15 K  E    -779.088736 Ha
  Step    21300     5325.00 fs  T  456.87 K  E    -779.075810 Ha
  Step    21400     5350.00 fs  T  369.77 K  E    -779.084437 Ha
  Step    21500     5375.00 fs  T  333.88 K  E    -779.087964 Ha
  Step    21600     5400.00 fs  T  452.77 K  E    -779.076201 Ha
  Step    21700     5425.00 fs  T  363.66 K  E    -779.085041 Ha
  Step    21800     5450.00 fs  T  370.81 K  E    -779.084316 Ha
  Step    21900     5475.00 fs  T  381.40 K  E    -779.083283 Ha
  Step    22000     5500.00 fs  T  394.19 K  E    -779.082026 Ha
  Step    22100     5525.00 fs  T  363.42 K  E    -779.085062 Ha
  Step    22200     5550.00 fs  T  397.54 K  E    -779.081689 Ha
  Step    22300     5575.00 fs  T  348.90 K  E    -779.086512 Ha
  Step    22400     5600.00 fs  T  297.36 K  E    -779.091591 Ha
  Step    22500     5625.00 fs  T  318.22 K  E    -779.089549 Ha
  Step    22600     5650.00 fs  T  355.88 K  E    -779.085832 Ha
  Step    22700     5675.00 fs  T  319.92 K  E    -779.089364 Ha
  Step    22800     5700.00 fs  T  351.35 K  E    -779.086240 Ha
  Step    22900     5725.00 fs  T  424.22 K  E    -779.079051 Ha
  Step    23000     5750.00 fs  T  376.76 K  E    -779.083755 Ha
  Step    23100     5775.00 fs  T  354.71 K  E    -779.085932 Ha
  Step    23200     5800.00 fs  T  434.74 K  E    -779.078007 Ha
  Step    23300     5825.00 fs  T  353.95 K  E    -779.086001 Ha
  Step    23400     5850.00 fs  T  353.68 K  E    -779.086013 Ha
  Step    23500     5875.00 fs  T  392.46 K  E    -779.082191 Ha
  Step    23600     5900.00 fs  T  453.37 K  E    -779.076136 Ha
  Step    23700     5925.00 fs  T  230.11 K  E    -779.098263 Ha
  Step    23800     5950.00 fs  T  407.85 K  E    -779.080673 Ha
