# MD Simulation - NVT Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       211       52.750       304.25      0.04191245   -779.13601410   -779.09410166
       212       53.000       313.84      0.04323280   -779.13570789   -779.09247510
       213       53.250       286.48      0.03946392   -779.13527837   -779.09581445
       214       53.500       330.81      0.04557124   -779.13548055   -779.08990931
       215       53.750       341.35      0.04702247   -779.13525549   -779.08823302
       216       54.000       394.06      0.05428447   -779.13494297   -779.08065850
       217       54.250       288.44      0.03973402   -779.13481083   -779.09507681
       218       54.500       274.18      0.03777038   -779.13460477   -779.09683439
       219       54.750       304.34      0.04192410   -779.13449997   -779.09257588
       220       55.000       331.43      0.04565596   -779.13428412   -779.08862816
       221       55.250       311.76      0.04294685   -779.13425158   -779.09130473
       222       55.500       259.87      0.03579826   -779.13464807   -779.09884981
       223       55.750       278.22      0.03832674   -779.13473131   -779.09640457
       224       56.000       361.25      0.04976392   -779.13445626   -779.08469234
       225       56.250       333.94      0.04600238   -779.13399630   -779.08799392
       226       56.500       282.47      0.03891221   -779.13325690   -779.09434469
       227       56.750       268.04      0.03692378   -779.13296746   -779.09604368
       228       57.000       326.32      0.04495330   -779.13301750   -779.08806420
       229       57.250       328.87      0.04530421   -779.13335807   -779.08805386
       230       57.500       437.19      0.06022589   -779.13383347   -779.07360758
       231       57.750       364.24      0.05017604   -779.13428248   -779.08410644
       232       58.000       376.08      0.05180747   -779.13433139   -779.08252392
       233       58.250       366.26      0.05045469   -779.13462231   -779.08416762
       234       58.500       426.81      0.05879603   -779.13496449   -779.07616846
       235       58.750       358.54      0.04939063   -779.13513687   -779.08574624
       236       59.000       283.67      0.03907740   -779.13519900   -779.09612160
       237       59.250       282.92      0.03897334   -779.13514455   -779.09617121
       238       59.500       291.20      0.04011423   -779.13538395   -779.09526972
       239       59.750       264.28      0.03640633   -779.13551630   -779.09910997
       240       60.000       271.42      0.03739019   -779.13587032   -779.09848013
       241       60.250       254.88      0.03511176   -779.13620510   -779.10109334
       242       60.500       365.12      0.05029758   -779.13657968   -779.08628210
       243       60.750       321.89      0.04434181   -779.13660657   -779.09226476
       244       61.000       401.15      0.05526027   -779.13636024   -779.08109996
       245       61.250       345.98      0.04766158   -779.13628410   -779.08862252
       246       61.500       377.70      0.05203027   -779.13571392   -779.08368365
       247       61.750       264.53      0.03644134   -779.13550677   -779.09906544
       248       62.000       320.69      0.04417746   -779.13541249   -779.09123503
       249       62.250       249.17      0.03432492   -779.13534118   -779.10101625
       250       62.500       437.95      0.06033086   -779.13567392   -779.07534306
       251       62.750       308.23      0.04246075   -779.13587988   -779.09341914
       252       63.000       286.57      0.03947627   -779.13593016   -779.09645389
       253       63.250       251.63      0.03466304   -779.13608061   -779.10141757
       254       63.500       249.76      0.03440570   -779.13608222   -779.10167652
       255       63.750       300.26      0.04136213   -779.13620557   -779.09484345
       256       64.000       335.87      0.04626800   -779.13694888   -779.09068087
       257       64.250       320.63      0.04416918   -779.13746391   -779.09329473
       258       64.500       274.66      0.03783557   -779.13752130   -779.09968574
       259       64.750       269.81      0.03716788   -779.13707458   -779.09990670
       260       65.000       241.58      0.03327918   -779.13652795   -779.10324877
       261       65.250       359.77      0.04956096   -779.13604351   -779.08648255
       262       65.500       310.94      0.04283329   -779.13609646   -779.09326317
       263       65.750       332.07      0.04574495   -779.13628639   -779.09054144
       264       66.000       367.40      0.05061198   -779.13683416   -779.08622218
       265       66.250       364.33      0.05018822   -779.13708296   -779.08689473
       266       66.500       371.79      0.05121575   -779.13728427   -779.08606852
       267       66.750       242.66      0.03342794   -779.13729503   -779.10386709
       268       67.000       317.74      0.04377044   -779.13677970   -779.09300926
       269       67.250       322.35      0.04440530   -779.13619007   -779.09178477
       270       67.500       376.21      0.05182487   -779.13583795   -779.08401308
       271       67.750       341.25      0.04700948   -779.13575671   -779.08874723
       272       68.000       272.18      0.03749393   -779.13614402   -779.09865009
       273       68.250       288.42      0.03973218   -779.13623674   -779.09650456
       274       68.500       325.80      0.04488122   -779.13678056   -779.09189934
       275       68.750       279.19      0.03846014   -779.13674637   -779.09828623
       276       69.000       312.20      0.04300746   -779.13644816   -779.09344070
       277       69.250       283.97      0.03911911   -779.13638164   -779.09726253
       278       69.500       296.87      0.04089557   -779.13681329   -779.09591771
       279       69.750       274.99      0.03788178   -779.13718904   -779.09930726
       280       70.000       278.95      0.03842691   -779.13745556   -779.09902865
       281       70.250       363.96      0.05013834   -779.13758026   -779.08744193
       282       70.500       289.82      0.03992437   -779.13761211   -779.09768775
       283       70.750       270.60      0.03727724   -779.13741177   -779.10013453
       284       71.000       276.33      0.03806605   -779.13706490   -779.09899885
       285       71.250       331.31      0.04564056   -779.13693353   -779.09129297
       286       71.500       274.93      0.03787359   -779.13658639   -779.09871280
       287       71.750       255.58      0.03520733   -779.13636137   -779.10115403
       288       72.000       283.91      0.03911011   -779.13626174   -779.09715163
       289       72.250       345.39      0.04758002   -779.13616002   -779.08858000
       290       72.500       320.97      0.04421564   -779.13555026   -779.09133461
       291       72.750       276.50      0.03809030   -779.13506948   -779.09697918
       292       73.000       263.04      0.03623559   -779.13496898   -779.09873339
       293       73.250       333.58      0.04595283   -779.13524922   -779.08929638
       294       73.500       391.66      0.05395402   -779.13518626   -779.08123224
       295       73.750       288.90      0.03979784   -779.13522649   -779.09542864
       296       74.000       285.44      0.03932056   -779.13537670   -779.09605614
       297       74.250       283.75      0.03908856   -779.13542183   -779.09633327
       298       74.500       217.91      0.03001836   -779.13535868   -779.10534032
       299       74.750       277.65      0.03824852   -779.13554930   -779.09730078
       300       75.000       328.31      0.04522692   -779.13598592   -779.09075900
       301       75.250       398.54      0.05490099   -779.13625700   -779.08135601
       302       75.500       480.23      0.06615527   -779.13659266   -779.07043739
       303       75.750       334.78      0.04611740   -779.13597190   -779.08985450
       304       76.000       233.02      0.03210049   -779.13555176   -779.10345127
       305       76.250       302.59      0.04168390   -779.13553159   -779.09384769
       306       76.500       308.10      0.04244274   -779.13577022   -779.09332748
       307       76.750       290.80      0.04005975   -779.13603810   -779.09597835
       308       77.000       217.69      0.02998801   -779.13604343   -779.10605542
       309       77.250       238.50      0.03285469   -779.13619382   -779.10333913
       310       77.500       262.83      0.03620621   -779.13645608   -779.10024987
       311       77.750       259.64      0.03576668   -779.13654750   -779.10078082
       312       78.000       282.30      0.03888873   -779.13628432   -779.09739559
       313       78.250       279.93      0.03856261   -779.13573997   -779.09717736
       314       78.500       323.73      0.04459527   -779.13502399   -779.09042872
