# MD Simulation - NVE Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       209       52.250       292.10      0.04023920   -779.13235318   -779.09211398
       210       52.500       298.02      0.04105402   -779.13258480   -779.09153078
       211       52.750       308.08      0.04243928   -779.13298091   -779.09054163
       212       53.000       319.03      0.04394807   -779.13341314   -779.08946507
       213       53.250       327.06      0.04505406   -779.13372963   -779.08867557
       214       53.500       329.48      0.04538858   -779.13382380   -779.08843522
       215       53.750       326.09      0.04492031   -779.13368653   -779.08876621
       216       54.000       319.19      0.04397058   -779.13341075   -779.08944017
       217       54.250       312.56      0.04305735   -779.13314620   -779.09008885
       218       54.500       309.62      0.04265271   -779.13302886   -779.09037615
       219       54.750       311.96      0.04297476   -779.13312127   -779.09014652
       220       55.000       318.72      0.04390519   -779.13338914   -779.08948395
       221       55.250       327.05      0.04505297   -779.13371981   -779.08866684
       222       55.500       333.31      0.04591600   -779.13396934   -779.08805334
       223       55.750       334.39      0.04606490   -779.13401509   -779.08795019
       224       56.000       328.75      0.04528799   -779.13379619   -779.08850820
       225       56.250       317.00      0.04366829   -779.13333608   -779.08966779
       226       56.500       301.84      0.04158074   -779.13274124   -779.09116050
       227       56.750       287.45      0.03959788   -779.13217533   -779.09257746
       228       57.000       278.04      0.03830204   -779.13180587   -779.09350382
       229       57.250       276.21      0.03804927   -779.13173583   -779.09368656
       230       57.500       281.62      0.03879521   -779.13195298   -779.09315777
       231       57.750       291.10      0.04010110   -779.13233033   -779.09222923
       232       58.000       300.11      0.04134154   -779.13268713   -779.09134559
       233       58.250       304.89      0.04200045   -779.13287491   -779.09087446
       234       58.500       304.08      0.04188899   -779.13284009   -779.09095110
       235       58.750       298.96      0.04118400   -779.13263486   -779.09145086
       236       59.000       292.54      0.04029890   -779.13237881   -779.09207991
       237       59.250       288.01      0.03967582   -779.13219913   -779.09252331
       238       59.500       287.48      0.03960164   -779.13217783   -779.09257619
       239       59.750       291.21      0.04011564   -779.13232534   -779.09220970
       240       60.000       297.79      0.04102235   -779.13258556   -779.09156320
       241       60.250       304.75      0.04198105   -779.13286065   -779.09087959
       242       60.500       309.47      0.04263135   -779.13304739   -779.09041603
       243       60.750       310.14      0.04272348   -779.13307412   -779.09035064
       244       61.000       306.53      0.04222603   -779.13293085   -779.09070482
       245       61.250       300.32      0.04137164   -779.13268377   -779.09131213
       246       61.500       294.68      0.04059404   -779.13245758   -779.09186354
       247       61.750       292.87      0.04034449   -779.13238333   -779.09203883
       248       62.000       296.59      0.04085698   -779.13252917   -779.09167220
       249       62.250       304.90      0.04200217   -779.13285820   -779.09085603
       250       62.500       314.62      0.04334041   -779.13324260   -779.08990219
       251       62.750       321.97      0.04435317   -779.13353225   -779.08917908
       252       63.000       324.57      0.04471182   -779.13363219   -779.08892036
       253       63.250       322.56      0.04443443   -779.13354793   -779.08911350
       254       63.500       318.44      0.04386766   -779.13337967   -779.08951200
       255       63.750       315.94      0.04352252   -779.13327472   -779.08975219
       256       64.000       318.27      0.04384356   -779.13336130   -779.08951774
       257       64.250       326.71      0.04500645   -779.13369029   -779.08868385
       258       64.500       339.92      0.04682548   -779.13420873   -779.08738324
       259       64.750       354.32      0.04880972   -779.13477567   -779.08596595
       260       65.000       365.45      0.05034350   -779.13521447   -779.08487097
       261       65.250       369.63      0.05091820   -779.13537926   -779.08446105
       262       65.500       365.36      0.05033100   -779.13521125   -779.08488025
       263       65.750       354.14      0.04878446   -779.13476791   -779.08598345
       264       66.000       340.07      0.04684618   -779.13421150   -779.08736532
       265       66.250       328.54      0.04525857   -779.13375533   -779.08849676
       266       66.500       324.06      0.04464160   -779.13357857   -779.08893697
       267       66.750       328.16      0.04520548   -779.13374239   -779.08853691
       268       67.000       338.47      0.04662669   -779.13415388   -779.08752719
       269       67.250       349.72      0.04817583   -779.13460272   -779.08642689
       270       67.500       356.01      0.04904214   -779.13485510   -779.08581297
       271       67.750       353.44      0.04868866   -779.13475680   -779.08606813
       272       68.000       341.72      0.04707424   -779.13429608   -779.08722184
       273       68.250       324.22      0.04466359   -779.13360656   -779.08894297
       274       68.500       306.64      0.04224211   -779.13291370   -779.09067159
       275       68.750       294.85      0.04061741   -779.13244901   -779.09183161
       276       69.000       292.70      0.04032192   -779.13236505   -779.09204313
       277       69.250       300.71      0.04142534   -779.13268162   -779.09125627
       278       69.500       315.91      0.04351901   -779.13328136   -779.08976235
